Title,Date Published,Author,URL
Мәйіттік донорлықты дамытуға не кедергі,2024-12-10 08:53:00,Сәндібек АСАНӘЛІ,https://egemen.kz/article/377917-mayittik-donorlyqty-damytugha-ne-kedergi
Қайтыс болған донордың ағза мүшелері 4 адамның өмірін сақтап қалды,2024-10-28 16:56:00,Дана МЫРЗАҚАДІР,https://egemen.kz/article/375100-qaytys-bolghan-donordynh-aghza-musheleri-4-adamnynh-omirin-saqtap-qaldy
Сүйек кемігі доноры,2024-10-02 08:38:00,Сәндібек АСАНӘЛІ,https://egemen.kz/article/373373-suyek-kemigi-donory
Бес адамға өмір сыйлаған донор,2024-08-23 09:07:00,Қуаныш НҰРДАНБЕКҰЛЫ,https://egemen.kz/article/370779-bes-adamgha-omir-syylaghan-donor
«Донор бүйрекпен жүріп домбыра үнін көкке самғатты»,2024-07-05 08:35:00,Айгүл АХАНБАЙҚЫЗЫ,https://egemen.kz/article/367937-donor-buyrekpen-dgurip-dombyra-unin-kokke-samghatty
Донор облыс қатары қайтсе артады?,2024-07-03 09:15:00,Гүлбаршын АЙТЖАНБАЙҚЫЗЫ,https://egemen.kz/article/367714-donor-oblys-qatary-qaytse-artady
«Мәйіт донорлығын қалпына келтіру қажет». Экс-министр трансплантациядағы түйткілді айтты,2024-01-31 11:25:00,Қуаныш НҰРДАНБЕКҰЛЫ,https://egemen.kz/article/357191-mayit-donorlyghyn-qalpyna-keltiru-qadget-eks-ministr-transplantatsiyadaghy-tuytk
«Екі донор тоғыз адамның өмірін сақтады». Министрлік донорлыққа келіскен азаматтар санын атады,2024-01-17 15:45:00,Ботакөз БАҚБЕРГЕН,https://egemen.kz/article/356281-eki-donor-toghyz-adamnynh-omirin-saqtady-ministrlik-donorlyqqa-kelisken-azamatta
Ағза мүшелерімді донор ретінде беруге келісемін - Денсаулық сақтау министрі,2024-01-17 15:00:00,Дана МЫРЗАҚАДІР,https://egemen.kz/article/356279-aghza-mushelerimdi-donor-retinde-beruge-kelisemin-densaulyq-saqtau-ministri
Шымкент донор шаһарға айнала ма?,2023-10-19 08:57:00,Әнуар ЖҰМАШБАЕВ,https://egemen.kz/article/351147-shymkent-donor-shaqargha-aynala-ma
Қазақстанда Еуропалық ағза донорының күніне орай Донор күні атап өтіледі,2023-10-05 17:39:00,Egemen Qazaqstan,https://egemen.kz/article/350387-qazaqstanda-europalyq-aghza-donorynynh-kunine-oray-donor-kuni-atap-otiledi
Бір донор төрт адамды құтқарып қалды,2023-07-25 11:42:00,Айнаш ЕСАЛИ,https://egemen.kz/article/346275-bir-donor-tort-adamdy-qutqaryp-qaldy
Бір донор 4 адамның өмірін сақтап қалды,2023-07-19 18:23:00,Шыңғыс МҰҚАЕВ,https://egemen.kz/article/345996-bir-donor-4-adamnynh-omirin-saqtap-qaldy
Трансплантацияда донор тапшы,2023-01-22 20:30:00,Сәндібек АСАНӘЛІ,https://egemen.kz/article/333286-transplantatsiyada-donor-tapshy
Күту парағы – екі жылда донорлық ағзаға зәру 558 пациент көз жұмды,2023-01-09 00:13:00,Айнаш ЕСАЛИ,https://egemen.kz/article/332119-kutu-paraghy-–-eki-dgylda-donorlyq-aghzagha-zaru-558-patsient-koz-dgumdy
Донор болу – жауапты іс,2022-11-10 23:15:00,Табиғат МҰСЫЛМАНҚҰЛ,https://egemen.kz/article/327890-donor-bolu-–-dgauapty-is
"Донор бол да, өмір сыйла!",2022-10-31 22:41:00,Рауан ҚАЙДАР,https://egemen.kz/article/326918-donor-bol-da-omir-syyla!
Донорларға құрмет көрсетілді,2022-06-21 23:00:00,Egemen Qazaqstan,https://egemen.kz/article/316073-donorlargha-qurmet-korsetildi
"Донор болдым, мінеки...",2022-06-16 08:40:00,Батырхан СӘРСЕНХАН,https://egemen.kz/article/315526-donor-boldym-mineki
Қазақстанда «Құрметті донор» атағын алған 100-ден аса адам бар,2022-06-14 16:32:00,Гауһар ҚАПАШ,https://egemen.kz/article/315342-qazaqstanda-qurmetti-donor-ataghyn-alghan-100-den-asa-adam-bar
Донор болу – өмір сыйлау деген сөз,2022-06-02 08:35:00,Egemen Qazaqstan,https://egemen.kz/article/313955-donor-bolu-–-omir-syylau-degen-soz
Донор болу – өмір сыйлау,2022-01-17 08:35:00,Орынбек ӨТЕМҰРАТ,https://egemen.kz/article/301355-donor-bolu-–-omir-syylau
Донорларға қандай талап қойылады?,2021-12-23 15:00:00,Жанболат Кенжеғұл,https://egemen.kz/article/299718-donorlargha-qanday-talap-qoyylady
Донорлық органдарды елге әкелу мен әкету қағидалары өзгертілді,2021-12-14 14:37:00,Ботакөз БАҚБЕРГЕН,https://egemen.kz/article/299013-donorlyq-organdardy-elge-akelu-men-aketu-qaghidalary-ozgertildi
Денсаулық министрлігі мен Facebook қан донорлығы жобасын іске қосады,2021-11-26 11:30:00,Гауһар ҚАПАШ,https://egemen.kz/article/297545-densaulyq-ministrligi-men-facebook-qan-donorlyghy-dgobasyn-iske-qosady
Донор болу – үлкен дәреже,2021-06-16 08:14:00,Анар ТӨЛЕУХАНҚЫЗЫ,https://egemen.kz/article/278558-donor-bolu-–-ulken-daredge
Вакцина алғандар қан донорлығынан 2 аптаға шеттетіледі,2021-06-14 11:25:00,Ақмарал АҒЗАМҚЫЗЫ,https://egemen.kz/article/278312-vaktsina-alghandar-qan-donorlyghynan-2-aptagha-shettetiledi
Донор мен дотациялық өңірлер бөлінісі қандай?,2021-03-26 07:08:00,Гүлбаршын АЙТЖАНБАЙҚЫЗЫ,https://egemen.kz/article/269641-donor-men-dotatsiyalyq-onhirler-bolinisi-qanday
Трансплантология түйткілі (Ағза донорлығына мұқтаждар қатары артуда),2020-12-04 07:16:00,Ғалымжан ЕЛШІБАЙ,https://egemen.kz/article/257746-transplantologiya-tuytkili-aghza-donorlyghyna-muqtadgdar-qatary-artuda
Елордада Донорлар форумы өтеді,2020-11-19 11:55:00,Ақмарал АҒЗАМҚЫЗЫ,https://egemen.kz/article/256405-elordada-donorlar-forumy-otedi
Өлімнен кейінгі донорлық: Қанша қазақстандық келісім берді?,2020-10-16 12:53:00,Динар КЕРІМ,https://egemen.kz/article/252474-olimnen-keyingi-donorlyq-qansha-qazaqstandyq-kelisim-berdi
Өлімнен кейінгі донорлықтан eGov арқылы бас тартуға немесе келісуге болады,2020-10-13 14:15:00,Динар КЕРІМ,https://egemen.kz/article/251995-olimnen-keyingi-donorlyqtan-egov-arqyly-bas-tartugha-nemese-kelisuge-bolady
eGov.kz порталы арқылы донорлыққа келісім беруге болады,2020-10-13 12:54:00,Жібек АҒДАРИ,https://egemen.kz/article/251991-egovkz-portaly-arqyly-donorlyqqa-kelisim-beruge-bolady
Донор болу – қайырымды іс,2020-09-24 06:47:00,Мұрат ЖЕТПІСБАЕВ,https://egemen.kz/article/249876-donor-bolu-–-qayyrymdy-is
Жамбылдық тәртіп сақшылары донор болды,2020-08-12 09:30:00,Динар КЕРІМ,https://egemen.kz/article/245064-zhambyldyq-tartip-saqshylary-donor-boldy
Қалай иммундық плазма доноры болуға болады?,2020-07-29 18:00:00,Жібек АҒДАРИ,https://egemen.kz/article/243886-qalay-immundyq-plazma-donory-bolugha-bolady
"""Әлем барысы"" иммундық плазма доноры болды",2020-07-23 11:35:00,Динар КЕРІМ,https://egemen.kz/article/243239-alem-barysy-immundyq-plazma-donory-boldy
Иммундық плазманың алғашқы доноры,2020-07-08 07:47:00,Гүлайым ДӘУІТБАЙ,https://egemen.kz/article/241683-immundyq-plazmanynh-alghashqy-donory
"Донор аймақтар көбейсе, ел экономикасы еңселенеді",2020-06-26 08:25:00,Гүлбаршын АЙТЖАНБАЙҚЫЗЫ,https://egemen.kz/article/240509-donor-aymaqtar-kobeyse-el-ekonomikasy-enhselenedi
Ер адамдар коронавируспен күресте донор бола алады,2020-06-23 17:13:00,Айым ДӘУІТ,https://egemen.kz/article/240160-er-adamdar-koronaviruspen-kureste-donor-bola-alady
Көкшетаудағы қан орталығында донорлар жетіспейді,2020-04-13 15:49:00,Байқал БАЙӘДІЛ,https://egemen.kz/article/229235-kokshetaudaghy-qan-ortalyghynda-donorlar-dgetispeydi
Елордада əскери қызметшілер донорлық қан қорын толықтырды,2020-04-02 18:32:00,Жолдыбай БАЗАР,https://egemen.kz/article/227378-elordada-əskeri-qyzmetshiler-donorlyq-qan-qoryn-tolyqtyrdy
Қолданыстағы заң бойынша мәйіттік донорлық үшін туыстарының рұқсатын алу міндет емес – маман,2020-02-19 19:34:00,Egemen Qazaqstan,https://egemen.kz/article/221585-qoldanystaghy-zanh-boyynsha-mayittik-donorlyq-ushin-tuystarynynh-ruqsatyn-alu-mi
"Түркістанда «Мен – донормын, өзгеге үміт сыйлаймын!» атты акция өтті",2020-02-14 11:08:00,Ғалымжан ЕЛШІБАЙ,https://egemen.kz/article/220947-turkistanda-men-–-donormyn-ozgege-umit-syylaymyn!-atty-aktsiya-otti
Маңғыстауда ерікті донорлар саны азайған,2020-02-04 11:03:00,Гүлайым ДӘУІТБАЙ,https://egemen.kz/article/219655-manhghystauda-erikti-donorlar-sany-azayghan
Маңғыстауда донорлар қайырымдылық акциясын өткізді,2019-11-15 15:58:00,Гүлайым ДӘУІТБАЙ,https://egemen.kz/article/213646-manhghystauda-donorlar-qayyrymdylyq-aktsiyasyn-otkizdi
Донор болуға эстафета жолдады,2019-11-11 07:42:00,Майгүл СҰЛТАН,https://egemen.kz/article/213207-donor-bolugha-estafeta-dgoldady
Донор күнін ұйымдастырды,2019-11-08 08:36:00,Egemen Qazaqstan,https://egemen.kz/article/213078-donor-kunin-uyymdastyrdy
Әрбір донор – батыр,2019-06-24 17:07:00,Майгүл СҰЛТАН,https://egemen.kz/article/203046-arbir-donor-–-batyr
Ғалымдар  донорлық қан ойлап тапты,2019-06-17 11:37:00,Egemen Qazaqstan,https://egemen.kz/article/202492-ghalymdar-donorlyq-qan-oylap-tapty
Бір науқасқа екі донордың бауыры салынды,2019-04-02 09:44:00,Айнаш ЕСАЛИ,https://egemen.kz/article/186802-bir-nauqasqa-eki-donordynh-bauyry-salyndy
